id;name
0;mitotic spindle
1;modeling
2;modularity
3;molecular diagnostics
4;molecular motors
5;multicellular systems
6;multiscale modelling
7;nanofabrication
8;nanoskiving
9;nonlinear chemistry
10;nucleic acid replication
11;nucleus deformation
12;origins of life
13;pattern formation
14;phospholipid biosynthesis
15;polymerase
16;polymerome
17;protein degradation
18;protein design
19;protein modification
20;protocell communication
21;quantum artificial intelligence
22;remote control
23;research management
24;RNA catalysis
25;RNA engineering
26;science communication
27;self-organization
28;septin
29;sequence design
30;signaling
31;simulation algorithms
32;single-molecule
33;soft matter
34;strain engineering
35;structural biology
36;supramolecular chemistry
37;synthetic genomics
38;synthetic microcompartments
39;synthetic proteome
40;synthetic tissue
41;system engineering
42;systems theory
43;therapeutic antibodies
44;thermodynamics
45;transcriptional regulation
46;transport
47;velocimetry
48;waste valorization
49;XNA
50;data management
51;indexing
52;data modeling
53;big data
54;data processing
55;data storage
56;data querying
