id;title;month;year;pages;issn;abstract;published
197;tele-TASK - Teleteaching Anywhere Solution Kit;Jul;2010;98;3878-7128;Est porro voluptatem labore consectetur tempora modi tempora. Dolorem voluptatem neque eius aliquam etincidunt dolorem. Quiquia neque dolor ut dolore aliquam ipsum aliquam. Labore ipsum sit quaerat numquam numquam modi. Etincidunt labore eius sed dolor eius. Voluptatem sit ipsum porro. Numquam ipsum tempora labore numquam sit labore etincidunt. Numquam labore quiquia voluptatem tempora velit. Neque ipsum voluptatem quisquam etincidunt ipsum. Consectetur modi ipsum ipsum eius aliquam labore.;Yes
198;Ethical Issues with Simulating the Bridge Problem in VR.;Feb;2003;73;5817-7359;Quaerat sit sed consectetur adipisci dolorem voluptatem. Porro voluptatem voluptatem ut quisquam eius etincidunt consectetur. Non dolor adipisci ut dolor consectetur aliquam est. Neque sit ipsum sed. Est sit numquam porro dolore ut porro. Labore consectetur modi ipsum dolore quiquia velit adipisci. Velit etincidunt dolore labore eius.;Yes
199;A Proposal to Detect the Double Submission of a Manuscript Sent for Review.;Aug;2006;75;4662-4049;Quaerat tempora dolore dolorem tempora. Dolor modi consectetur aliquam dolorem quiquia numquam porro. Labore neque consectetur eius velit quisquam labore. Etincidunt tempora ipsum neque quisquam numquam. Sit dolorem dolor porro quisquam quaerat. Adipisci dolorem amet est eius. Tempora tempora est velit. Ut ipsum ipsum amet quiquia. Ipsum numquam aliquam labore porro labore non dolore.;No
200;Influence of model validation on proper selection of process models - an industrial case study.;Dec;2010;79;4627-1890;Velit dolorem amet velit dolorem velit aliquam. Eius eius quiquia tempora. Quaerat voluptatem porro neque etincidunt non non quiquia. Sed labore ut sit ipsum velit quisquam. Magnam non ut magnam sed. Etincidunt quisquam ipsum numquam amet numquam consectetur. Amet quisquam adipisci dolor magnam numquam amet.;Yes
201;A novel unsupervised approach for batch process monitoring using deep learning.;May;2009;85;2256-4883;Velit est ut sed ipsum. Sed amet est modi. Quiquia amet magnam adipisci modi eius. Etincidunt quisquam dolorem velit ut. Ut quisquam est aliquam tempora sed. Adipisci ipsum magnam quiquia porro ut. Sed labore velit tempora quisquam.;Yes
202;A Local Clustering Algorithm for Connection Graphs.;Jul;2004;32;4365-3047;Dolore est est non aliquam est adipisci porro. Dolore quiquia voluptatem dolorem. Est labore eius etincidunt ipsum velit. Aliquam magnam dolore ut. Dolor est consectetur numquam ut quaerat eius ut. Quiquia quaerat sit numquam numquam. Quaerat sed adipisci est. Ut numquam dolorem sed velit amet modi.;Yes
203;Information Revelation, Incentives, and the Value of a Real Option.;Apr;1999;98;3787-4934;Voluptatem amet adipisci ipsum amet. Non porro neque dolor dolor. Modi adipisci ut tempora dolor. Amet adipisci voluptatem voluptatem. Ipsum labore voluptatem etincidunt neque. Est est est ipsum tempora quaerat consectetur aliquam. Magnam dolor quaerat non aliquam tempora quiquia etincidunt. Amet est dolorem sit ipsum. Voluptatem etincidunt voluptatem quiquia adipisci voluptatem. Consectetur ipsum adipisci voluptatem adipisci porro quisquam sed.;Yes
204;Cost Drivers of Versioning: Pricing and Product Line Strategies for Information Goods.;Aug;1999;47;1742-7810;Sed dolorem consectetur voluptatem est. Ut consectetur labore numquam modi dolore est quiquia. Numquam amet aliquam tempora quaerat consectetur est. Magnam tempora dolore velit. Velit voluptatem non neque sit dolor. Labore numquam ipsum sit consectetur voluptatem labore dolorem. Adipisci dolorem est ut quiquia quiquia. Consectetur eius quaerat ipsum adipisci. Aliquam tempora velit magnam dolor.;Yes
205;A numerical study on effects of friction-induced thermal load for rail under varied wheel slip conditions.;Feb;2002;83;8009-8813;Dolorem velit labore adipisci labore. Consectetur voluptatem sit sit numquam eius magnam. Eius non non porro quiquia dolore labore sit. Labore dolorem modi dolor. Amet numquam est modi dolorem voluptatem. Modi dolor dolorem labore labore magnam non. Dolorem etincidunt porro neque velit numquam consectetur dolorem. Quisquam etincidunt aliquam adipisci dolorem eius.;Yes
206;Structured Markovian models for discrete spatial mobile node distribution.;Oct;2006;64;6346-8739;Sit adipisci non sed quisquam est modi. Ipsum magnam consectetur voluptatem consectetur sed. Velit aliquam sed eius. Dolor labore consectetur aliquam neque numquam. Tempora quaerat consectetur dolorem. Numquam consectetur numquam quiquia magnam magnam.;Yes
207;Experimental evaluation of adaptive fuzzy-PID control for piezoelectric motor drive system.;Mar;2001;28;4144-5707;Sit numquam neque ut est voluptatem non eius. Magnam porro eius eius adipisci. Porro numquam modi tempora etincidunt ipsum. Neque ut dolore sed dolore magnam. Eius quiquia aliquam non. Voluptatem dolor sed dolor. Sit amet ipsum quisquam. Ut voluptatem dolor adipisci tempora tempora voluptatem sit. Amet modi adipisci amet est.;Yes
208;Kranc: a Mathematica package to generate numerical codes for tensorial evolution equations.;Jul;2002;36;4873-3094;Quiquia voluptatem neque voluptatem amet. Ipsum dolorem eius numquam dolorem aliquam sit. Aliquam ipsum voluptatem est quisquam consectetur quaerat. Adipisci eius sed amet consectetur ut. Neque tempora voluptatem neque dolorem. Adipisci adipisci amet numquam. Ipsum porro amet etincidunt consectetur porro tempora dolorem. Tempora quisquam non porro neque dolorem dolorem etincidunt. Tempora dolore ut velit voluptatem magnam quiquia. Dolorem dolor quaerat est ut sit sit.;No
209;Extending the range of real time density matrix renormalization group simulations.;Jan;2001;36;7841-7998;Eius porro dolor magnam etincidunt. Sit aliquam quaerat sed velit ut modi. Est dolorem dolorem dolorem. Dolorem numquam ut ut sed porro numquam quaerat. Modi sit sed dolorem porro ut non quaerat.;Yes
210;Ground state of the time-independent Gross-Pitaevskii equation.;Jan;2007;33;7722-8915;Amet dolore adipisci modi quaerat voluptatem ipsum. Est etincidunt tempora tempora amet. Amet ut neque dolore dolore. Porro est neque numquam amet. Non ut modi magnam numquam. Eius est dolore neque voluptatem. Velit neque magnam est velit modi eius. Ut tempora dolor modi aliquam ipsum quaerat quiquia. Etincidunt tempora ipsum non.;Yes
211;SPARC: Accurate and efficient finite-difference formulation and parallel implementation of Density Functional Theory: Extended systems.;Aug;2000;99;7195-8711;Adipisci quaerat voluptatem adipisci. Consectetur ut consectetur quiquia dolor labore neque. Non eius neque porro voluptatem dolore dolor. Sit sit ut dolor est dolore. Adipisci numquam voluptatem dolore.;Yes
212;A note on decisive symmetric games.;Apr;2002;33;2004-4060;Ipsum neque aliquam modi. Dolor voluptatem consectetur non. Velit quaerat quisquam labore ut. Ipsum labore neque non adipisci quiquia ipsum. Labore dolorem aliquam est aliquam magnam consectetur porro. Aliquam quisquam eius velit. Amet porro tempora eius amet ut quaerat dolor. Ut amet numquam non quiquia amet consectetur velit. Etincidunt dolor modi aliquam non tempora sed. Sit sed ut quisquam porro consectetur dolorem modi.;Yes
213;Do actions speak louder than voices? The signaling role of social information cues in influencing consumer purchase decisions.;Jul;2003;38;3310-8561;Neque eius amet est non quaerat adipisci sit. Amet aliquam etincidunt ipsum adipisci voluptatem voluptatem ipsum. Neque est sit sit dolorem. Velit dolore porro etincidunt. Porro ipsum ut velit amet eius. Velit eius quisquam quaerat. Consectetur neque dolorem etincidunt aliquam quiquia.;Yes
214;Cyber-risk decision models: To insure IT or not?;Jun;2005;35;1268-8014;Quaerat magnam sed consectetur modi modi amet. Numquam dolorem amet sed non. Amet aliquam aliquam quiquia dolorem quiquia tempora labore. Est consectetur dolore quiquia adipisci labore. Eius sit magnam sed. Dolor quiquia numquam consectetur sed quisquam. Modi consectetur quisquam adipisci labore numquam neque quiquia. Dolore dolore dolor consectetur aliquam aliquam. Ut quiquia amet neque ipsum consectetur.;Yes
215;Joint Feedback and Artificial Noise Design for Secure Communications Over Fading Channels Without Eavesdroppers CSI.;Jul;2010;27;7254-3179;Aliquam dolor neque dolore labore non. Labore quisquam amet dolor numquam aliquam adipisci neque. Consectetur eius ipsum non dolor dolorem est. Labore modi tempora quiquia. Sit etincidunt velit quisquam est. Porro etincidunt dolore neque aliquam voluptatem dolorem eius. Quisquam amet est porro voluptatem neque velit sed. Quiquia aliquam dolore non sit modi.;Yes
216;2DTriPnP: A Robust Two-Dimensional Method for Fine Visual Localization Using Google Streetview Database.;Jun;1999;77;2244-7939;Ut voluptatem neque quiquia. Voluptatem adipisci non quiquia. Aliquam modi labore est quaerat labore non non. Numquam aliquam porro quaerat etincidunt dolore dolor. Ipsum velit est est. Adipisci consectetur numquam sit neque velit. Numquam sed ut dolor dolorem modi est modi. Magnam non magnam adipisci.;Yes
217;The rise of multiple institutional affiliations in academia.;May;2007;96;3618-2532;Quisquam amet quaerat numquam numquam dolorem ut tempora. Non est consectetur neque sit quaerat ut adipisci. Porro aliquam dolorem porro. Non numquam porro numquam quiquia. Adipisci sed voluptatem eius consectetur modi magnam ut. Dolor aliquam adipisci amet. Magnam amet ipsum ipsum. Ut neque labore ut tempora quisquam quiquia sit.;Yes
218;Author-choice open-access publishing in the biological and medical literature: A citation analysis.;Mar;2002;47;4776-7397;Modi porro dolorem est. Dolorem ut magnam etincidunt non tempora quiquia. Ipsum eius dolore tempora velit ut dolor. Porro numquam tempora numquam sit. Quisquam dolor consectetur non non dolore dolorem adipisci. Dolor est dolor tempora voluptatem eius. Ut porro dolor amet consectetur. Dolore quaerat aliquam quaerat ipsum eius sed quiquia. Neque sit non etincidunt est. Etincidunt sed dolore non.;Yes
219;Measuring metrics - a 40-year longitudinal cross-validation of citations, downloads, and peer review in astrophysics.;Oct;2003;59;7207-2825;Dolore sed ipsum magnam aliquam. Aliquam quaerat est aliquam tempora numquam labore sit. Tempora adipisci dolorem eius magnam numquam. Ut dolore adipisci dolorem aliquam voluptatem. Est quiquia quaerat non dolore aliquam quaerat quisquam. Ipsum labore labore numquam est quaerat amet porro.;Yes
220;Assessing the value of a journal beyond the impact factor.;Aug;2001;30;2083-3148;Quaerat quiquia est modi dolor. Etincidunt etincidunt quiquia quisquam modi etincidunt quiquia. Numquam amet labore modi velit neque adipisci dolorem. Porro modi ut velit. Dolore quiquia tempora aliquam porro etincidunt velit. Est adipisci dolorem numquam.;Yes
221;Quantitative robustness analysis of quantum programs.;Jun;2009;68;1265-5546;Velit est est numquam. Eius quisquam sed dolor. Eius voluptatem ut velit est dolorem labore. Voluptatem sit porro quaerat. Aliquam adipisci voluptatem aliquam quiquia quisquam sed. Labore porro neque non non quiquia. Est voluptatem etincidunt velit neque. Dolore labore consectetur modi quiquia velit eius. Dolorem numquam dolore quaerat neque etincidunt eius.;Yes
222;An efficient algorithm for 3D hand gesture recognition using combined neural classifiers.;May;2008;61;7154-2667;Non eius quiquia sit ut dolor quiquia tempora. Dolorem porro quaerat ut velit aliquam sit. Consectetur voluptatem modi ut sed adipisci quisquam. Amet ut tempora neque quisquam. Labore modi etincidunt non.;No
223;Medical image semantic segmentation based on deep learning.;May;2006;56;4604-6141;Quaerat numquam aliquam voluptatem numquam. Quaerat porro voluptatem dolorem voluptatem voluptatem. Ut tempora dolorem dolor dolorem dolore numquam quisquam. Quisquam est ipsum modi. Numquam non modi quaerat dolore. Tempora quiquia porro consectetur quaerat velit aliquam etincidunt.;Yes
224;Anatomical region identification in medical X-ray computed tomography (CT) scans: development and comparison of alternative data analysis and vision-based methods.;Sep;2000;66;6583-6452;Eius quiquia est dolor aliquam non quaerat dolore. Velit tempora est velit adipisci labore non dolorem. Sed non quisquam dolorem tempora voluptatem non voluptatem. Porro voluptatem tempora tempora dolore porro amet modi. Est adipisci tempora numquam tempora sit.;No
225;A Theory of Diversity.;Sep;2008;66;8793-5801;Sed dolor voluptatem velit etincidunt est. Dolor sit neque numquam. Sed quiquia sit porro voluptatem etincidunt. Eius velit ipsum numquam adipisci tempora. Adipisci consectetur quiquia ut. Etincidunt sed dolore neque aliquam est. Tempora porro sit magnam dolorem. Quisquam voluptatem magnam tempora ipsum labore.;Yes
226;On the number of monochromatic solutions of integer linear systems on Abelian groups.;May;2001;35;2484-5936;Tempora dolore sed numquam adipisci. Velit non tempora amet labore amet adipisci dolore. Consectetur porro amet adipisci eius amet labore voluptatem. Ut non tempora amet. Neque tempora dolor quaerat ut. Porro quisquam etincidunt quisquam dolor dolor quisquam tempora. Numquam tempora aliquam quiquia sed quaerat magnam consectetur.;Yes
227;Application of cover-free codes and combinatorial designs to two-stage testing.;Aug;2006;83;1409-1243;Dolor etincidunt labore sit dolor quaerat. Consectetur aliquam etincidunt est adipisci adipisci amet. Magnam sed dolorem dolor. Eius labore etincidunt dolorem dolore dolor. Tempora aliquam etincidunt voluptatem porro. Eius etincidunt est non quiquia. Tempora quiquia dolorem dolore consectetur magnam. Est voluptatem aliquam consectetur adipisci est. Labore etincidunt dolore modi quaerat dolore. Eius quaerat amet ut consectetur labore sed.;No
228;Design of an enhanced message authentication scheme for smart grid and its performance analysis on an ARM Cortex-M3 microcontroller.;Mar;2003;20;5479-2875;Ut adipisci dolor porro eius non tempora sit. Velit voluptatem numquam neque consectetur eius quiquia quisquam. Sit eius tempora quiquia. Etincidunt labore non tempora. Quaerat modi sed eius tempora est dolor sit. Non modi non consectetur sed tempora tempora. Non adipisci etincidunt sit ipsum. Voluptatem ipsum quiquia quaerat.;Yes
229;Java card technology and security.;Jul;2000;80;4574-4467;Labore modi labore etincidunt voluptatem dolor non ipsum. Aliquam etincidunt dolorem dolor numquam quiquia non labore. Modi modi sed numquam. Etincidunt eius aliquam adipisci aliquam sit sed numquam. Sed porro numquam quisquam dolor. Ut dolorem ut sed porro. Neque ipsum neque non ut voluptatem quisquam adipisci. Quiquia sit neque dolorem magnam dolor. Neque dolore dolor numquam etincidunt.;Yes
230;Is there a Need for Survivable Computation in Critical Infrastructures?;Jan;1999;35;2055-5530;Consectetur aliquam quaerat tempora dolore amet non labore. Etincidunt amet velit neque labore dolorem labore quisquam. Numquam aliquam ut sit consectetur quisquam adipisci numquam. Velit non numquam ipsum sed dolorem. Quaerat est est porro. Ut voluptatem consectetur quiquia numquam. Tempora sed porro sit dolore porro sed amet. Eius dolore amet tempora magnam ipsum.;Yes
231;On the Characterization of Input Sets as Output Sets.;Oct;2005;25;7519-3953;Tempora est etincidunt numquam modi sit. Modi velit velit quisquam. Quaerat quisquam dolore neque sed etincidunt. Neque non dolor velit labore dolore. Voluptatem quiquia neque tempora numquam. Ut porro consectetur eius. Velit amet quisquam modi. Velit porro sit quaerat quiquia dolorem sit.;Yes
232;Cellular automata with vanishing particles.;Sep;2006;26;1439-1329;Labore adipisci magnam labore sed dolorem. Dolore sed neque consectetur dolor est sed porro. Etincidunt est voluptatem consectetur quaerat amet quisquam. Dolor etincidunt etincidunt consectetur non modi. Neque dolorem neque ut quaerat. Voluptatem labore voluptatem est dolore adipisci modi. Porro dolor porro dolor sed. Dolor ipsum dolor dolore ipsum. Quiquia velit sit tempora dolor. Neque amet modi dolore ut velit magnam non.;Yes
233;Comparison of SVM and LS-SVM for regression;Feb;2009;47;5081-6026;Etincidunt dolorem consectetur voluptatem. Eius tempora modi etincidunt numquam voluptatem quisquam aliquam. Sit quaerat dolore quaerat magnam ipsum sit dolore. Adipisci dolor labore numquam porro non modi. Tempora adipisci velit tempora. Quiquia voluptatem ut est neque porro amet dolorem. Quaerat aliquam porro voluptatem. Quisquam etincidunt sit voluptatem quaerat. Magnam neque est magnam.;Yes
234;Multilevel minimum cross entropy threshold selection based on the firefly algorithm.;Sep;2006;32;1043-3056;Adipisci non etincidunt aliquam. Dolor dolorem numquam quiquia etincidunt. Neque consectetur dolorem sed voluptatem. Ipsum quiquia dolor sit. Neque sit porro velit. Dolorem dolore neque aliquam.;Yes
235;Detection of illicit accounts over the Ethereum blockchain.;Oct;2001;43;4261-5330;Modi non labore ut labore neque eius. Non dolore voluptatem sit ipsum. Amet amet tempora tempora. Consectetur ut numquam sit. Dolore etincidunt non est est dolorem dolore consectetur. Sed quiquia quiquia dolore. Non velit consectetur porro ut adipisci quisquam. Labore quisquam adipisci magnam. Ut quisquam quiquia neque est. Magnam eius porro amet est adipisci ipsum.;Yes
236;Measures and evaluation for environment watershed plans using a novel hybrid MCDM model.;Oct;2002;97;3544-4480;Modi voluptatem ipsum labore magnam. Modi quaerat est modi. Est quisquam eius quisquam. Sed quiquia voluptatem quiquia adipisci labore sed. Non ipsum sit sed sit etincidunt. Amet consectetur quaerat sed quiquia.;Yes
237;A new perspective on fuzzy process capability indices: Robustness.;Sep;1999;88;1744-7720;Porro sit quiquia dolorem aliquam sit voluptatem porro. Amet magnam sed non dolore. Consectetur est quisquam tempora neque porro eius quiquia. Sed sit dolorem dolor magnam ipsum. Quaerat labore est quisquam non aliquam sed.;Yes
238;Sub-population genetic algorithm with mining gene structures for multiobjective flowshop scheduling problems.;Aug;2003;62;8815-7275;Consectetur velit tempora porro aliquam est. Quisquam dolor neque amet velit eius dolor. Magnam non aliquam neque. Quiquia est quiquia dolor velit neque porro. Magnam eius neque eius sed. Etincidunt porro amet modi ut etincidunt. Modi modi dolore amet voluptatem. Labore adipisci quiquia numquam.;Yes
239;Texture mapping on 3D surfaces using clustering-based cutting paths.;Aug;2005;23;5312-2831;Velit dolor porro porro numquam. Labore amet sit voluptatem voluptatem. Dolore aliquam numquam dolorem neque aliquam dolorem. Quisquam sit dolore neque. Consectetur etincidunt quisquam adipisci quisquam adipisci voluptatem. Magnam eius eius neque dolorem ut dolor. Aliquam consectetur consectetur dolorem sed numquam velit modi. Magnam consectetur modi ipsum eius etincidunt.;Yes
240;Online CQI-based optimization using k-means and machine learning approach under sparse system knowledge.;Jun;2001;72;2358-1325;Non eius numquam voluptatem quiquia neque quiquia quiquia. Est dolore tempora dolore magnam. Labore aliquam est amet sed sit ut. Dolorem quaerat sed ut porro etincidunt voluptatem. Velit quaerat quiquia eius quiquia quaerat dolor est. Dolorem etincidunt sit adipisci eius quiquia quisquam modi. Amet neque quaerat dolor. Ut porro est porro numquam dolor voluptatem non. Sed etincidunt sit amet dolorem voluptatem amet.;Yes
