start_id;end_id
197;70
197;80
198;104
198;64
198;137
198;150
199;67
199;140
199;96
199;130
199;155
200;156
200;140
200;122
200;69
201;146
202;125
202;124
202;68
202;90
203;120
203;138
203;122
204;86
204;84
204;142
204;83
205;92
206;150
207;77
207;100
208;101
208;115
208;58
209;145
209;74
209;99
209;124
209;66
210;108
210;66
210;77
210;130
210;131
211;60
211;109
212;154
213;73
213;144
213;100
213;117
214;105
215;155
215;141
216;131
216;93
216;81
216;116
217;135
217;148
217;105
218;137
218;111
218;122
218;64
219;120
219;115
219;58
219;149
219;104
220;111
220;116
220;98
221;109
221;89
221;112
222;133
222;119
222;153
222;147
223;137
224;101
224;74
224;118
224;102
225;75
225;120
225;137
226;128
226;125
226;95
226;64
227;59
227;156
227;123
227;110
227;122
228;102
228;140
228;147
229;130
230;115
230;153
230;65
230;97
230;130
231;127
231;62
231;120
232;84
232;153
233;134
233;66
233;89
234;142
234;91
234;132
235;110
235;153
235;112
235;90
235;65
236;91
236;127
237;84
237;107
237;77
238;83
238;138
238;156
239;74
239;149
240;150
240;63
240;87
240;67
241;107
241;85
241;59
242;126
242;107
242;88
242;66
243;134
243;107
244;131
244;116
244;139
245;72
245;138
246;153
247;143
247;80
247;133
247;111
247;98
248;78
248;149
248;66
249;87
249;156
249;136
249;113
250;119
250;62
250;61
250;125
251;111
251;118
251;155
252;67
253;128
253;107
253;127
253;112
254;129
254;82
254;62
255;115
255;58
255;127
255;140
255;62
256;75
257;94
258;82
258;102
258;116
258;135
258;117
259;102
259;127
260;117
260;151
261;148
261;60
261;146
262;99
262;111
263;138
263;106
263;70
263;147
263;142
264;94
264;155
264;88
264;59
265;107
265;97
266;135
266;88
266;145
266;100
266;141
267;138
267;111
267;116
267;148
267;122
268;75
268;141
269;58
269;118
269;108
269;103
269;132
270;88
270;91
271;127
272;109
273;78
273;125
273;90
273;139
274;147
274;103
274;149
274;94
274;124
275;151
275;93
275;143
275;141
275;114
276;81
277;130
277;117
277;129
278;70
278;57
278;102
278;91
278;114
279;96
279;83
280;90
280;151
280;66
281;75
281;113
281;58
281;145
281;62
282;85
282;57
283;111
283;82
283;118
283;81
283;135
284;149
284;106
285;73
285;103
285;100
285;87
286;118
286;113
286;141
287;121
287;131
288;71
289;84
289;141
289;87
290;60
290;142
291;81
291;87
291;66
291;97
292;125
292;124
293;120
293;129
293;138
293;135
294;131
294;86
294;89
294;69
295;97
295;92
295;62
295;129
296;116
296;62
297;58
297;92
297;71
298;80
298;120
298;109
298;99
298;83
299;89
299;122
299;85
299;137
300;80
300;138
300;133
300;142
300;135
301;85
301;123
301;78
301;96
301;95
302;140
302;62
303;141
304;77
304;86
304;72
304;139
305;115
305;134
305;147
306;105
307;128
307;136
307;127
308;89
308;107
309;144
309;87
309;80
309;136
310;87
310;81
310;140
311;74
311;130
311;108
312;64
312;150
313;63
313;130
313;115
313;74
313;59
314;100
314;129
314;149
314;95
315;64
315;63
316;140
316;102
317;134
317;104
318;115
318;80
318;155
318;96
319;114
319;155
320;87
320;148
321;91
321;65
322;90
322;141
323;71
323;148
324;149
324;94
325;143
326;100
326;99
326;63
326;64
327;99
328;137
329;125
329;85
330;156
330;57
330;70
331;154
331;79
331;109
332;120
333;75
333;94
334;105
334;78
335;154
335;150
335;77
336;69
336;117
336;144
336;136
336;116
337;94
337;102
338;93
338;64
338;153
339;106
339;77
339;88
339;152
340;102
340;71
340;82
340;137
340;155
341;74
341;66
342;68
342;84
342;107
342;141
343;144
343;89
343;87
344;154
344;101
344;89
344;116
345;77
345;123
345;140
345;64
346;150
346;82
346;87
346;78
346;152
347;78
347;128
347;114
348;94
348;112
348;69
348;76
349;130
349;85
349;116
349;138
350;104
350;139
350;98
350;101
351;65
352;155
352;136
352;140
352;152
353;106
353;105
353;148
354;113
354;156
354;149
354;85
355;80
356;140
356;156
356;98
357;79
357;142
357;106
357;125
