paper_id;conference_name;edition;city;year
200;Three-Dimensional Imaging, Interaction, and Measurement;5;Dubai;2027
201;Discrete Mathematics in the Schools;1;Paris;2013
202;Language Engineering Conference;5;Paris;2015
205;Information Visualization;2;Tokyo;2012
211;Coding Theory and Applications;2;Los Angeles;2018
212;Complexity of Constraints;1;Chicago;2012
214;Computational Methods for SNPs and Haplotype Inference;2;Moscow;2020
215;Computational Methods for SNPs and Haplotype Inference;2;Moscow;2020
219;Ershov Informatics Conference;1;Paris;2010
220;Plan, Activity, and Intent Recognition;1;Moscow;2012
223;Mathematical Methods Of Analysis Of Biopolymer Sequences;3;Singapore;2012
225;Coding Theory and Applications;5;Los Angeles;2028
229;Dance Notations and Robot Motion;1;Chicago;2010
230;Communication in Multiagent Systems;4;Chicago;2026
231;Caring Machines;5;Chicago;2026
233;Plan, Activity, and Intent Recognition;5;Chicago;2022
234;Mathematical Methods Of Analysis Of Biopolymer Sequences;4;Singapore;2015
235;Coding Theory and Applications;2;Los Angeles;2018
236;Theories of Programming and Formal Methods;3;Paris;2010
237;Communication in Multiagent Systems;2;Barcelona;2020
238;Caring Machines;3;Chicago;2016
239;Plan, Activity, and Intent Recognition;1;Moscow;2012
241;Mathematical Methods Of Analysis Of Biopolymer Sequences;2;Dubai;2011
243;Computational Methods for SNPs and Haplotype Inference;1;Chicago;2015
245;TPDL Workshops;2;Dubai;2018
246;ACM National Conference;2;Tokyo;2017
252;Plan, Activity, and Intent Recognition;1;Moscow;2012
253;Dance Notations and Robot Motion;1;Chicago;2010
254;Coding Theory and Applications;5;Los Angeles;2028
258;Webmedia;4;Barcelona;2023
260;Discrete Mathematics in the Schools;4;Tokyo;2022
263;Dance Notations and Robot Motion;5;Paris;2019
264;Web Application Security;2;Barcelona;2013
266;Discrete Mathematics in the Schools;3;Moscow;2022
267;Discrete Mathematics in the Schools;2;Singapore;2017
268;Semantic Grid;4;New York;2019
270;Dance Notations and Robot Motion;3;Moscow;2015
272;Dance Notations and Robot Motion;4;Barcelona;2018
274;Theories of Programming and Formal Methods;4;Paris;2013
275;Three-Dimensional Imaging, Interaction, and Measurement;5;Dubai;2027
276;Computational Methods for SNPs and Haplotype Inference;1;Chicago;2015
280;TPDL Workshops;4;London;2023
282;Ershov Informatics Conference;2;Chicago;2014
283;Language Engineering Conference;5;Paris;2015
284;Discrete Mathematics in the Schools;3;Moscow;2022
286;Coding Theory and Applications;1;Paris;2015
287;Semantic Grid;5;Singapore;2020
289;Web Application Security;1;Paris;2012
291;Caring Machines;5;Chicago;2026
293;Plan, Activity, and Intent Recognition;1;Moscow;2012
294;Communication in Multiagent Systems;1;New York;2015
297;Theories of Programming and Formal Methods;3;Paris;2010
302;Three-Dimensional Imaging, Interaction, and Measurement;4;Chicago;2022
303;Mathematical Methods Of Analysis Of Biopolymer Sequences;5;Paris;2019
305;Web Application Security;2;Barcelona;2013
306;ACM National Conference;3;New York;2018
307;Language Engineering Conference;5;Paris;2015
309;Coding Theory and Applications;4;Barcelona;2023
312;ACM National Conference;4;Moscow;2021
313;ACM National Conference;1;Moscow;2015
314;Web Application Security;4;London;2021
316;Theories of Programming and Formal Methods;4;Paris;2013
318;Web Application Security;1;Paris;2012
319;Three-Dimensional Imaging, Interaction, and Measurement;4;Chicago;2022
323;Computational Methods for SNPs and Haplotype Inference;4;London;2022
328;Discrete Mathematics in the Schools;2;Singapore;2017
331;Information Visualization;2;Tokyo;2012
332;Caring Machines;1;Moscow;2015
335;Fault-Tolerant Distributed Computing;4;Barcelona;2023
336;Caring Machines;3;Chicago;2016
337;TPDL Workshops;1;Tokyo;2014
338;Semantic Grid;3;Barcelona;2018
339;Caring Machines;1;Moscow;2015
342;Ershov Informatics Conference;3;Dubai;2018
344;Webmedia;3;Los Angeles;2018
348;Web Application Security;2;Barcelona;2013
349;Information Visualization;1;Tokyo;2011
350;Dance Notations and Robot Motion;3;Moscow;2015
352;Language Engineering Conference;3;Los Angeles;2013
353;Coding Theory and Applications;1;Paris;2015
356;Coding Theory and Applications;3;Barcelona;2022
357;Mathematical Methods Of Analysis Of Biopolymer Sequences;3;Singapore;2012
358;Webmedia;3;Los Angeles;2018
360;Dance Notations and Robot Motion;3;Moscow;2015
361;Communication in Multiagent Systems;4;Chicago;2026
363;Complexity of Constraints;1;Chicago;2012
365;Web Application Security;3;Chicago;2016
366;Fault-Tolerant Distributed Computing;2;Tokyo;2017
371;Fault-Tolerant Distributed Computing;2;Tokyo;2017
372;Language Engineering Conference;1;Barcelona;2010
374;Ershov Informatics Conference;4;Tokyo;2019
379;Web Application Security;5;London;2026
380;Theories of Programming and Formal Methods;5;Dubai;2016
381;Semantic Grid;3;Barcelona;2018
385;Three-Dimensional Imaging, Interaction, and Measurement;2;Dubai;2018
388;ACM National Conference;2;Tokyo;2017
391;Communication in Multiagent Systems;2;Barcelona;2020
392;TPDL Workshops;3;Dubai;2023
393;Computational Methods for SNPs and Haplotype Inference;3;Barcelona;2020
396;Theories of Programming and Formal Methods;1;Barcelona;2010
397;Communication in Multiagent Systems;4;Chicago;2026
401;Coding Theory and Applications;3;Barcelona;2022
402;Coding Theory and Applications;1;Paris;2015
403;Computational Methods for SNPs and Haplotype Inference;5;Los Angeles;2024
404;ACM National Conference;1;Moscow;2015
406;Language Engineering Conference;3;Los Angeles;2013
408;Theories of Programming and Formal Methods;4;Paris;2013
410;Coding Theory and Applications;2;Los Angeles;2018
414;Information Visualization;1;Tokyo;2011
417;Language Engineering Conference;4;New York;2015
420;Plan, Activity, and Intent Recognition;5;Chicago;2022
427;Information Visualization;3;Dubai;2016
430;Dance Notations and Robot Motion;2;Singapore;2012
431;Computational Methods for SNPs and Haplotype Inference;5;Los Angeles;2024
432;Mathematical Methods Of Analysis Of Biopolymer Sequences;2;Dubai;2011
437;Coding Theory and Applications;1;Paris;2015
438;Mathematical Methods Of Analysis Of Biopolymer Sequences;3;Singapore;2012
439;Three-Dimensional Imaging, Interaction, and Measurement;2;Dubai;2018
440;Caring Machines;5;Chicago;2026
441;Complexity of Constraints;4;Singapore;2025
445;Semantic Grid;4;New York;2019
446;Computational Methods for SNPs and Haplotype Inference;1;Chicago;2015
451;Webmedia;4;Barcelona;2023
452;Discrete Mathematics in the Schools;4;Tokyo;2022
453;Three-Dimensional Imaging, Interaction, and Measurement;4;Chicago;2022
454;Ershov Informatics Conference;4;Tokyo;2019
