article:ID;author:string[];author-aux:string;author-orcid:string[];booktitle:string;cdate:date;cdrom:string;cite:string[];cite-label:string[];crossref:string;editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];journal:string;key:string;mdate:date;month:string;note:string[];note-label:string;note-type:string[];number:string;pages:string;publisher:string;publnr:string;publtype:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string[];url:string;volume:string;year:int
271;Christoph Meinel|Volker Schillings;;;;;;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-21;2017-06-08;;;;;;;;;informal;;;tele-TASK - Teleteaching Anywhere Solution Kit;;;;02-21;2002
29147;Erick Jose Ramirez|Scott LaBarge;;0000-0001-9042-6942;;;;;;;;;https://doi.org/10.1007/s11948-020-00267-5|https://www.wikidata.org/entity/Q100739162;;;Sci. Eng. Ethics;journals/see/RamirezL20;2021-06-01;;;;;6;3313-3331;;;;;;Ethical Issues with Simulating the Bridge Problem in VR.;;;db/journals/see/see26.html#RamirezL20;26;2020
29464;Abdalla Alameen|Manjur S. Kolhar|Safar Bin Bkhit AlMudara;;;;;;;;;;;https://doi.org/10.1007/s11948-017-9958-3|https://www.wikidata.org/entity/Q48692843;;;Sci. Eng. Ethics;journals/see/KolharAA18;2020-07-09;;;;;4;1315-1329;;;;;;A Proposal to Detect the Double Submission of a Manuscript Sent for Review.;;;db/journals/see/see24.html#KolharAA18;24;2018
36375;B. Banko|Davorka Sel|Nadja Hvala|Srecko Milanic|Stanko Strmcnik;;;;;;;;;;;https://doi.org/10.1016/j.compchemeng.2004.11.013;;;Comput. Chem. Eng.;journals/cce/HvalaSSSB05;2020-05-18;;;;;7;1507-1522;;;;;;Influence of model validation on proper selection of process models - an industrial case study.;;;db/journals/cce/cce29.html#HvalaSSSB05;29;2005
37610;Hector M. Budman|Melih Tamer|Mohammad Aghaee|Piyush Agarwal;;;;;;;;;;;https://doi.org/10.1016/j.compchemeng.2022.107694;;;Comput. Chem. Eng.;journals/cce/AgarwalATB22;2022-03-08;;;;;;107694;;;;;;A novel unsupervised approach for batch process monitoring using deep learning.;;;db/journals/cce/cce159.html#AgarwalATB22;159;2022
40057;Fan Chung|Mark Kempton;;;;;;;;;;;https://doi.org/10.1080/15427951.2014.968295;;;Internet Math.;journals/im/ChungK15;2020-05-17;;;;;4-5;333-351;;;;;;A Local Clustering Algorithm for Connection Graphs.;;;db/journals/im/im11.html#ChungK15;11;2015
41952;Brian Mittendorf;;0000-0002-5182-4240;;;;;;;;;https://doi.org/10.1287/mnsc.1040.0260;;;Manag. Sci.;journals/mansci/Mittendorf04;2020-06-30;;;;;12;1638-1645;;;;;;Information Revelation, Incentives, and the Value of a Real Option.;;;db/journals/mansci/mansci50.html#Mittendorf04;50;2004
43044;Amit Mehra|Ramnath K. Chellappa;;;;;;;;;;;https://doi.org/10.1287/mnsc.2016.2698;;;Manag. Sci.;journals/mansci/ChellappaM18;2020-06-30;;;;;5;2164-2180;;;;;;Cost Drivers of Versioning: Pricing and Product Line Strategies for Information Goods.;;;db/journals/mansci/mansci64.html#ChellappaM18;64;2018
46387;Jay Prakash Srivastava|Mv Ravi Kiran|Prabir Kumar Sarkar|Vinayak Ranjan;;0000-0001-9182-9532|0000-0002-6699-3266;;;;;;;;;https://doi.org/10.1177/0037549718782629;;;Simul.;journals/simulation/SrivastavaSKR19;2020-06-08;;;;;4;;;;;;;A numerical study on effects of friction-induced thermal load for rail under varied wheel slip conditions.;;;db/journals/simulation/simulation95.html#SrivastavaSKR19;95;2019
49527;Cristina M. Nunes|Fernando Luís Dotti|Paulo Fernandes 0001;;0000-0001-9061-4695|0000-0003-3959-0434;;;;;;;;;https://doi.org/10.1007/s13173-010-0026-y;oa;;J. Braz. Comput. Soc.;journals/jbcs/DottiFN11;2021-07-25;;;;;1;31-52;;;;;;Structured Markovian models for discrete spatial mobile node distribution.;;;db/journals/jbcs/jbcs17.html#DottiFN11;17;2011
50502;Mohammad A. Al-Khedher|Shebel A. AlSabbah;;;;;;;;;;;https://doi.org/10.1504/IJISTA.2011.040350;;;Int. J. Intell. Syst. Technol. Appl.;journals/ijista/Al-KhedherA11;2020-07-09;;;;;3;279-288;;;;;;Experimental evaluation of adaptive fuzzy-PID control for piezoelectric motor drive system.;;;db/journals/ijista/ijista10.html#Al-KhedherA11;10;2011
51708;Christiane Lechner|Ian Hinder|Sascha Husa;;0000-0002-0445-1971|0000-0002-7598-2075|0000-0003-3548-9101;;;;;;;;;https://doi.org/10.1016/j.cpc.2006.02.002;;;Comput. Phys. Commun.;journals/cphysics/HusaHL06;2020-02-21;;;;;12;983-1004;;;;;;Kranc: a Mathematica package to generate numerical codes for tensorial evolution equations.;;;db/journals/cphysics/cphysics174.html#HusaHL06;174;2006
52154;Christoph Karrasch|D. M. Kennes;;0000-0002-5627-5041;;;;;;;;;https://doi.org/10.1016/j.cpc.2015.10.019;;;Comput. Phys. Commun.;journals/cphysics/KennesK16;2020-10-26;;;;;;37-43;;;;;;Extending the range of real time density matrix renormalization group simulations.;;;db/journals/cphysics/cphysics200.html#KennesK16;200;2016
54674;Claude M. Dion|Eric Cancès;;0000-0003-3096-1972;;;;;;;;;https://doi.org/10.1016/j.cpc.2007.04.007;;;Comput. Phys. Commun.;journals/cphysics/DionC07;2020-02-21;;;;;10;787-798;;;;;;Ground state of the time-independent Gross-Pitaevskii equation.;;;db/journals/cphysics/cphysics177.html#DionC07;177;2007
55680;Phanish Suryanarayana|Swarnava Ghosh;;;;;;;;;;;https://doi.org/10.1016/j.cpc.2017.02.019;;;Comput. Phys. Commun.;journals/cphysics/GhoshS17a;2020-02-21;;;;;;109-125;;;;;;SPARC: Accurate and efficient finite-difference formulation and parallel implementation of Density Functional Theory: Extended systems.;;;db/journals/cphysics/cphysics216.html#GhoshS17a;216;2017
56783;Francesc Carreras|Josep Freixas|María Albina Puente;;0000-0002-9033-9432|0000-0003-2732-9087;;;;;;;;;https://doi.org/10.1016/j.dss.2010.10.005;;;Decis. Support Syst.;journals/dss/CarrerasFP11;2020-02-20;;;;;3;424-433;;;;;;A note on decisive symmetric games.;;;db/journals/dss/dss51.html#CarrerasFP11;51;2011
56908;Bo Sophia Xiao|Christy M. K. Cheung|Ivy L. B. Liu;;0000-0003-4411-0570;;;;;;;;;https://doi.org/10.1016/j.dss.2014.05.002;;;Decis. Support Syst.;journals/dss/CheungXL14;2020-02-20;;;;;;50-58;;;;;;Do actions speak louder than voices? The signaling role of social information cues in influencing consumer purchase decisions.;;;db/journals/dss/dss65.html#CheungXL14;65;2014
58864;Ambuj Mahanti|Arunabha Mukhopadhyay|Debashis Saha|Samir Chatterjee|Samir K. Sadhukhan;;;;;;;;;;;https://doi.org/10.1016/j.dss.2013.04.004;;;Decis. Support Syst.;journals/dss/MukhopadhyayCSMS13;2020-02-20;;;;;;11-26;;;;;;Cyber-risk decision models: To insure IT or not?;;;db/journals/dss/dss56.html#MukhopadhyayCSMS13;56;2013
62528;Hai Lin|Hongliang He|Pinyi Ren|Qinghe Du;;0000-0002-0147-3673|0000-0002-4992-9166|0000-0002-9546-7337;;;;;;;;;https://doi.org/10.1109/TVT.2017.2729561;;;IEEE Trans. Veh. Technol.;journals/tvt/HeRDL17;2020-06-25;;;;;12;11414-11418;;;;;;Joint Feedback and Artificial Noise Design for Secure Communications Over Fading Channels Without Eavesdropper's CSI.;;;db/journals/tvt/tvt66.html#HeRDL17;66;2017
